,type,size,price,rooms,baths
0,Casa,150,319.000,3 ,2 
1,Ático,128,350.000,4 ,2 
2,Casa,170,369.000,4 ,2 
3,Casa,174,425.000,3 ,3 
4,Casa,200,355.000,3 ,3 
5,Casa,261,389.000,4 ,3 
6,Casa,298,495.000,3 ,3 
7,Piso,78,189.000,4 ,1 
8,Casa,298,475.000,4 ,4 
9,Piso,70,159.900,3 ,1 
10,Casa,200,358.900,0,3 
11,Piso,57,188.000,2 ,1 
12,Casa,350,486.000,3 ,3 
13,Casa,170,262.000,5 ,2 
14,Planta,90,219.000,3 ,1 
15,ARBREDA,100,297.000,0,0
16,Chalet,300,383.000,5 ,2 
17,Piso,135,289.900,3 ,3 
18,Casa,308,244.000,3 ,1 
19,Piso,120,229.000,3 ,1 
20,Casa,213,339.000,3 ,2 
21,Piso,85,259.900,3 ,2 
22,Casa,152,359.000,4 ,2 
23,Piso,73,180.000,2 ,1 
24,Piso,128,287.000,4 ,2 
25,Casa,266,450.000,4 ,3 
26,Piso,59,169.000,3 ,1 
27,Piso,83,159.900,3 ,1 
28,Dúplex,150,310.000,3 ,3 
29,Casa,800,6.950.000,5 ,3 
30,Casa,252,311.000,5 ,2 
31,CASA,142,440.000,0,0
32,Casa,266,450.000,4 ,3 
33,Chalet,290,460.000,4 ,4 
34,Piso,75,177.000,3 ,2 
35,Planta,90,249.900,2 ,1 
36,Dúplex,123,299.000,3 ,2 
37,Casa,252,375.000,3 ,3 
38,Piso,84,155.700,3 ,1 
39,Casa,288,435.000,4 ,3 
40,Chalet,334,477.100,5 ,3 
41,Casa,192,538.000,5 ,4 
42,Casa,220,456.000,4 ,3 
43,Chalet,214,290.000,4 ,2 
44,Piso,85,172.000,3 ,2 
45,Piso,81,236.495,3 ,2 
46,Casa,242,350.000,5 ,2 
47,BAJOS,,,0,0
48,Piso,80,145.000,3 ,1 
49,Planta,78,239.000,2 ,1 
50,Casa,184,257.000,4 ,2 
51,Casa,300,435.000,4 ,3 
52,Dúplex,118,270.000,2 ,1 
53,Casa,140,199.500,5 ,2 
54,Casa,175,425.000,3 ,3 
55,Casa,276,470.000,4 ,2 
56,Casa,706,799.000,4 ,4 
57,Piso,90,185.000,3 ,2 
58,Planta,90,249.900,2 ,1 
